Profile Summary
Generated on: 2022-10-14 01:06:23
Msec since Epoch: 1665680783235
Profiled application: pass
Target platform: Xilinx
Tool version: 2022.1
XRT build version: 2.13.466
Build version branch: 2022.1
Build version hash: f5505e402c2ca1ffe45eb6d3a9399b23a0dc8776
Build version date: N/A
Target devices: xilinx_u50_gen3x16_xdma_base_5-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,200,0.133048,0.000359,0.00066524,0.014579,
clCreateCommandQueue,1,0.00497,0.00497,0.00497,0.00497,
clCreateContext,1,3.49001,3.49001,3.49001,3.49001,
clCreateKernel,1,0.300619,0.300619,0.300619,0.300619,
clCreateProgramWithBinary,1,24.4942,24.4942,24.4942,24.4942,
clEnqueueMigrateMemObjects,200,0.361612,0.000817,0.00180806,0.109691,
clEnqueueTask,100,0.932981,0.006891,0.00932981,0.045221,
clFinish,1,36.5032,36.5032,36.5032,36.5032,
clGetDeviceIDs,1,0.001017,0.001017,0.001017,0.001017,
clGetDeviceInfo,1,2.78885,2.78885,2.78885,2.78885,
clGetExtensionFunctionAddress,2,0.011525,0.001943,0.0057625,0.009582,
clGetExtensionFunctionAddressForPlatform,2,0.003738,0.000675,0.001869,0.003063,
clGetPlatformInfo,6,0.00258,0.000284,0.00043,0.000645,
clReleaseCommandQueue,1,0.003271,0.003271,0.003271,0.003271,
clReleaseContext,1,0.024088,0.024088,0.024088,0.024088,
clReleaseEvent,300,0.292509,0.000375,0.00097503,0.020161,
clReleaseKernel,1,1.32786,1.32786,1.32786,1.32786,
clReleaseMemObject,200,2.48545,0.000356,0.0124273,0.105478,
clReleaseProgram,1,0.002214,0.002214,0.002214,0.002214,
clSetKernelArg,800,6.28882,0.000247,0.00786103,0.059964,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
pass,100,45.2436,0.203239,0.452436,0.561589,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94247262507168,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,297.717,0.561589,1:1:1,1:1:1,
94247262507168,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,292.346,0.544189,1:1:1,1:1:1,
94247262507168,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,293.723,0.538863,1:1:1,1:1:1,
94247262507168,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,295.291,0.535121,1:1:1,1:1:1,
94247262507168,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,303.235,0.534701,1:1:1,1:1:1,
94247262507168,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,297.958,0.533431,1:1:1,1:1:1,
94247262507168,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,328.307,0.531607,1:1:1,1:1:1,
94247262507168,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,315.099,0.5303,1:1:1,1:1:1,
94247262507168,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,311.153,0.528851,1:1:1,1:1:1,
94247262507168,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,308.524,0.528826,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
134217728,0,0,315.952,0.399242,2097.15,5252.83,
102760448,0,0,309.398,0.398047,2097.15,5268.6,
115343360,0,0,312.011,0.397819,2097.15,5271.62,
8388608,0,0,289.292,0.397804,2097.15,5271.82,
178257920,0,0,325.255,0.389707,2097.15,5381.36,
184549376,0,0,326.569,0.388525,2097.15,5397.73,
52428800,0,0,298.818,0.387563,2097.15,5411.13,
140509184,0,0,317.233,0.382043,2097.15,5489.31,
90177536,0,0,306.77,0.381932,2097.15,5490.9,
77594624,0,0,304.086,0.381931,2097.15,5490.92,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
457179136,0,0,328.425,0.649489,2097.15,3228.93,
281018368,0,0,291.346,0.617718,2097.15,3395,
362807296,0,0,308.639,0.616181,2097.15,3403.47,
419430400,0,0,320.483,0.615924,2097.15,3404.89,
438304768,0,0,324.501,0.614603,2097.15,3412.21,
356515840,0,0,307.327,0.614151,2097.15,3414.72,
318767104,0,0,299.402,0.613893,2097.15,3416.15,
369098752,0,0,309.96,0.612921,2097.15,3421.57,
343932928,0,0,304.668,0.611445,2097.15,3429.83,
331350016,0,0,302.03,0.61072,2097.15,3433.9,

Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,100,4868.47,30.9033,2097.15,43.0762,0.430762,
context0:1,WRITE,100,6681.77,42.4136,2097.15,31.3862,0.313862,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),









Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u50_gen3x16_xdma_base_5-0,43.9859,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_STR|0,0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[0],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[1],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[2],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[3],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[4],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[5],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[6],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[7],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[8],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[9],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[10],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[11],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[12],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[13],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[14],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[15],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[16],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[17],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[18],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[19],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[20],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[21],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[22],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[23],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[24],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[25],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[26],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[27],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[28],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[29],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[30],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[31],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[2],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[3],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HOST[0],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
KERNEL_COUNT,pass,1,
TRACE_MEMORY,all,FIFO,
PLRAM_SIZE_BYTES,xilinx_u50_gen3x16_xdma_base_5-0,0,
TRACE_BUFFER_FULL,xilinx_u50_gen3x16_xdma_base_5-0,false
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM,512,
APPLICATION_RUN_TIME_MS,all,974.601,
MIGRATE_MEM,host,200,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,pass,3,
COMMAND_QUEUE_OOO,94247262489840,1,
KERNEL_BUFFER_INFO,pass|input_r|HBM[0]|1,2097152,
KERNEL_BUFFER_INFO,pass|output_r|HBM[1]|1,2097152,
BUFFER_RD_ACTIVE_TIME_MS,all,43.0762,
BUFFER_WR_ACTIVE_TIME_MS,all,31.3862,
BUFFER_TX_ACTIVE_TIME_MS,all,44.492,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
XRT_INI_SETTING,opencl_summary,0,Generation of OpenCL summary report (deprecated)
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,opencl_device_counter,0,Hardware counters added to OpenCL summary file (deprecated)
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
